Keyfield,AnimalID,SerialNo,CollDeploy,LastGoodData,Sex,NoData,CleanData
27_G01TX-956SAM,27,G01TX-956SAM,6/10/03,6/6/04,F,No,No
86_G01TX-956SAM,86,G01TX-956SAM,4/12/05,4/5/06,M,No,No
46_G01TX-957SAM,46,G01TX-957SAM,9/16/04,1/25/05,M,No,No
63_G01TX-957SAM,63,G01TX-957SAM,3/26/03,4/26/04,F,No,No
80_GPS02013,80,GPS02013,2/24/06,7/5/06,M,No,No
85_GPS02013,85,GPS02013,11/20/04,1/12/06,M,No,No
97_GPS02353,97,GPS02353,8/23/09,6/23/10,M,Yes,No
111_GPS03727,111,GPS03727,9/19/08,3/1/10,M,No,No
131_GPS03727,131,GPS03727,8/15/10,8/14/10,M,Yes,No
94_GPS03727,94,GPS03727,1/9/07,4/1/07,F,No,No
114_GPS03728,114,GPS03728,2/13/09,2/17/10,F,No,No
106_GPS03729,106,GPS03729,4/26/08,4/7/10,F,No,No
95_GPS03729,95,GPS03729,4/1/07,4/3/08,M,No,No
102_GPS03808,102,GPS03808,9/14/07,2/13/08,M,No,No
108_GPS03808,108,GPS03808,6/20/08,4/9/09,F,No,No
103_GPS03809,103,GPS03809,2/2/08,11/20/08,M,No,No
93_GPS03810,93,GPS03810,2/8/08,10/5/09,F,No,No
132_T5H-1164,132,T5H-1164,12/8/10,1/31/11,M,Yes,No
75_T5H-1261,75,T5H-1261,10/7/05,11/22/05,F,No,No
86_T5H-1262,86,T5H-1262,4/7/06,6/9/08,M,No,No
88_T5H-1263,88,T5H-1263,9/21/05,10/1/05,M,No,No
133_T5H-1628,133,T5H-1628,2/18/11,3/20/12,F,Yes,No
132_T5H-1910,132,T5H-1910,2/2/11,3/30/11,M,Yes,No
141_T5HS-5845,141,T5HS-5845,3/26/17,5/27/18,F,No,No
140_T5HS-5846,140,T5HS-5846,3/26/17,12/8/17,M,No,No
87_xxx159.568,87,xxx159.568,8/27/06,12/20/08,M,Yes,No
69_xxx159.795,69,xxx159.795,11/24/04,9/27/06,F,No,No
211_155901,211,155901,1/22/25,,F,No,No
186_154646,186,154646,1/23/25,,F,No,No
222_150591_c1,222,150591_c1,8/7/22,5/26/24,M,No,No
252_155908_t1,252,155908_t1,1/28/25,,M,No,No
180_155900,180,155900,1/29/25,,F,No,No
225_154645,225,154645,2/6/25,,F,No,No
241_155892,241,155892,2/20/25,,M,No,No
262_155894,262,155894,2/22/25,,F,No,No
257_102236,257,102236,2/23/25,,F,No,No
269_155898,269,155898,3/2/25,,F,No,No
247_155918,247,155918,3/13/25,,M,No,No
270_155896,270,155896,3/25/25,,M,No,No
271_155893,271,155893,3/26/25,,F,No,No
272_155911,272,155911,3/26/25,,M,No,No
